IDCAPTURA,IDVISITA,FRENTES CORE SECO,FRENTES LIGHT SECO,FRENTES CARBONATADA SECO,FRENTES CORE FRIO,FRENTES LIGHT FRIO,FRENTES CARBONATADA FRIO,PRECIO CORE,MATERIAL POP,EXHIBICION ADICIONAL,PROMOCION,PROMOCION SEÑALIZADA,SOS SECO,SOS FRIO,SOS EXHIBICIONES ADICIONALES
41946674,4551398,9,3,4,,2,4,19.5,NO,NO,NO,,20.003,56.9398,
41946675,4551401,,,,,,,15.65,NO,NO,NO,,,,
41946676,4551402,,,,,,,15,NO,NO,NO,,,,
41946677,4551408,,,,,,,,NO,NO,NO,,5.5264,,
41946678,4551413,10,,,,,,18.75,NO,NO,NO,,,,
41946679,4551423,26,10,,3,3,,19.9,SI,NO,NO,,12.1092,39.6172,
41946680,4551424,3,,,13,2,,18.75,NO,NO,NO,,,7.7644,
41946681,4551425,20,3,4,18,3,2,19.6,NO,NO,NO,,23.5889,4.843,
41946682,4551430,16,2,,,,,14,NO,NO,NO,,8.8525,,
41946683,4551431,13,4,5,,,,16.1,SI,NO,SI,SI,19.9893,,
41946684,4551437,115,,,,,,19.5,NO,SI,NO,,71.5071,,
41946685,4551444,11,2,,13,4,8,20.4,NO,NO,NO,,19.1122,11.1974,
41946686,4551454,7,,,,,,14.25,NO,NO,NO,,15.7727,,
41946687,4551459,5,2,,49,9,2,19.6,NO,NO,NO,,9.9088,,
41946688,4551461,17,3,4,,,,19.6,NO,NO,NO,,13.5802,,
41946689,4551467,8,,,,,,15.65,NO,,SI,SI,38.0291,,
41946690,4551468,6,3,3,,,,15,NO,NO,NO,,10.0412,,
41946691,4551473,4,2,2,,,,20.3,NO,NO,NO,,,,
41946692,4551485,,,,7,1,,18.75,NO,NO,NO,,,6.8095,
41946693,4551488,11,,,,,,15,SI,NO,SI,NO,11.328,,
41946694,4551496,9,1,,4,2,,19.6,NO,NO,NO,,7.3559,6.6658,
41946695,4551497,1,,,7,,,18.75,NO,NO,NO,,,,
41946696,4551498,,,,11,,,18.75,NO,NO,NO,,,,
41946697,4551499,20,1,,,,,14,NO,NO,SI,SI,8.4228,,
41946698,4551503,11,,,,,,14.85,NO,NO,NO,,7.1679,,
41946699,4551505,10,,,,,,15,NO,NO,NO,,84.2816,,
41946700,4551511,2,2,6,,,,16.4,NO,NO,NO,,,,
41946701,4551517,13,,,,,,15,NO,NO,SI,SI,18.3393,,
41946702,4551521,4,2,8,,,,15.6,SI,NO,NO,,,,
41946703,4551525,,,,,,,,NO,NO,NO,,17.3074,11.6879,
41946704,4551527,12,2,,,,,19.6,NO,NO,NO,,,,
41946705,4551533,5,1,,5,1,,19.6,NO,NO,NO,,4.8206,8.2004,
41946706,4551535,6,3,4,,,4,19.6,NO,NO,NO,,10.6916,,
41946707,4551545,22,,,,,,19.6,NO,NO,NO,,16.5473,,
41946708,4551549,15,17,2,12,12,12,20,NO,NO,NO,,,,
41946709,4551550,7,,,,,,15,NO,NO,NO,,15.6468,,
41946710,4551554,10,2,,,,,14,NO,NO,NO,,8.4903,,
41946711,4551555,8,,,,,,15,NO,NO,SI,SI,9.9493,,
41946712,4551558,12,,,,,,15,NO,NO,NO,,18.8961,,
41946713,4551566,,,,,,,20,NO,NO,NO,,,,
41946714,4551569,,,,10,2,,19.6,NO,,,,,,
41946715,4551571,14,6,4,,,,19.5,SI,NO,NO,,,,
41946716,4551572,,,,7,1,,19.6,NO,,NO,,,7.9201,
41946717,4551582,6,1,,,,,20,NO,NO,NO,,,,
41946718,4551592,30,,,22,,,19.5,NO,NO,SI,SI,21.675,52.944,
41946719,4551599,11,,,,,,15,NO,NO,NO,,15.611,,
41946720,4551600,11,,,,,,15.65,NO,,SI,SI,28.4231,,
41946721,4551606,33,,,,,,14.26,NO,NO,NO,,19.5093,,
41946722,4551609,,,,9,2,,19.6,NO,NO,NO,,,7.4357,
41946723,4551612,16,1,2,37,2,4,19.6,NO,NO,NO,,16.6439,77.1136,
41946724,4551614,,,,,,,,NO,NO,NO,,,,
41946725,4551617,12,3,2,5,,,20,NO,NO,NO,,15.8526,3.8722,
41946726,4551633,8,,,,,,14,NO,NO,NO,,8.5168,,
41946727,4551635,10,,,,,,15,NO,NO,SI,SI,9.4097,,
41946728,4551636,6,,,12,,,18.75,NO,SI,NO,,15.9703,10.9518,
41946729,4551646,,,,7,2,,19.6,NO,NO,NO,,,6.5953,
41946730,4551647,20,,,,,,18,SI,SI,NO,,,,
41946731,4551652,22,4,27,,,,20.3,NO,NO,NO,,35.0367,,
41946732,4551667,13,2,,14,2,,18.75,NO,NO,NO,,11.5765,13.8617,
41946733,4551679,5,1,,11,2,,18.75,NO,NO,NO,,,4.4243,
41946734,4551680,,,,9,2,,18.75,NO,NO,NO,,,13.6699,
41946735,4551692,12,,1,,,,22,NO,NO,NO,,9.0558,,
41946736,4551697,8,2,2,8,2,2,19.6,NO,NO,NO,,8.7302,10.727,
41946737,4551700,20,4,9,,,,15,NO,SI,SI,SI,27.0734,,
41946738,4551711,,16,1,,25,,14.25,NO,NO,NO,,13.9096,,
41946739,4551712,,,,21,4,4,20.8,NO,NO,NO,,,15.8156,
41946740,4551714,,,,8,4,8,19.5,NO,NO,NO,,,75.1493,
41946741,4551726,7,,,,,,15.65,NO,NO,NO,,,,
41946742,4551728,5,,,,,,15.65,,,,,,,
41946743,4551732,6,,,,,,14.58,NO,,SI,SI,,,
41946744,4551735,10,2,,8,2,,18.75,NO,NO,NO,,11.6052,9.1595,
41946745,4551746,33,,,,,,14.25,NO,NO,SI,SI,23.0163,,
41946746,4551747,4,,,,,,18,NO,NO,NO,,,,
41946747,4551748,22,,,1,,3,19.9,NO,NO,NO,,11.5925,,
41946748,4551752,13,,,,,,14.25,NO,NO,NO,,12.423,,
41946749,4551753,5,,,9,,,18.75,,,,,,,
41946750,4551772,,,,,,,15.65,NO,NO,NO,,,,
41946751,4551782,20,,,,,,18,NO,NO,NO,,13.8893,,
41946752,4551783,,,,,,,,NO,NO,NO,,,,
41946753,4551785,,,,25,3,7,21.1,NO,SI,NO,,,73.4302,
41946754,4551790,15,2,,14,3,3,19.5,NO,NO,NO,,38.8752,16.0833,
41946755,4551792,,,,,,,,NO,NO,NO,,,,
41946756,4551796,,,,7,2,,19.6,NO,NO,NO,,,5.3502,
41946757,4551797,2,,,5,1,,18.75,NO,NO,NO,,,,
41946758,4551799,,,,7,1,,19.6,,,NO,,26.5035,25.4198,
