IDTIENDA,SEGMENTO,SUBSEGMENTO,GRUPO,CADENA,IDTIENDACADENA,NOMBRE,FORMATO,CLASIFICACION,CIUDAD,ESTADO,AREA NIELSEN,REGION
14943,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1342,SUPER LEY EXPRESS PLAZA 300,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14944,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1348,LEY EXPRESS COCORIT,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14945,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1349,SUPER LEY EXPRESS TETABIATE,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14946,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1095,LEY NAVOLATO,LEY,A,SIN ASIGNAR,SINALOA,AREA 1,AREA I  PACIFICO
14947,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1171,SUPER LEY LA PRIMAVERA,CASA LEY,A,NAVOLATO,SINALOA,AREA 1,AREA I  PACIFICO
14948,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1194,SUPER LEY COSTA RICA,CASA LEY,A,COSTA RICA,SINALOA,AREA 1,AREA I  PACIFICO
14949,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1223,LEY EXPRESS VILLA JUAREZ,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14950,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1224,LEY EXPRESS QUILA,LEY EXPRESS,AA,CULIACAN,SINALOA,AREA 1,AREA I  PACIFICO
14951,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1225,SUPER LEY INGENIO EL DORADO,CASA LEY,A,MAZATLAN,SINALOA,AREA 1,AREA I  PACIFICO
14952,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1230,LEY EXPRESS BADIRAGUATO,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14953,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1240,LEY EXPRESS PERICOS,LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
14954,AUTOSERVICIOS,CADENAS REGIONALES,CASA LEY,CASA LEY,1282,SUPER LEY EXPRESS LA PALMA,SUPER LEY EXPRESS,A,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR,SIN ASIGNAR
